symbol,conf,only_side,test_volume_usd,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,60000,-0.026099450081864185,2479.1342438601837,12720.569722314134,-331.99987448041077,-199199.92468824648,2.0,25441.13944462827,1526468366.677696
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,70000,-0.025078205298642048,2549.589238097047,12369.051268641893,-310.1936070644303,-217135.5249451012,2.0,24738.102537283787,1731667177.609865
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,80000,-0.02825266278009003,2521.3824425755934,12507.424287362754,-353.36804063836775,-282694.4325106942,2.0,25014.848574725507,2001187885.9780407
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,90000,-0.030565409312815487,2431.054507278104,12972.148467090043,-396.49902756321916,-356849.12480689725,2.0,25944.296934180085,2334986724.0762076
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,10000,-0.013954956159024055,2397.79416186257,13152.088073941808,-183.53681247148106,-18353.681247148106,2.0,26304.176147883616,263041761.47883615
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,20000,-0.0167068042773198,2355.7806164911476,13386.645504780392,-223.6480663782289,-44729.613275645774,2.0,26773.291009560784,535465820.1912157
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,30000,-0.016268485521911145,2803.4078301386076,11249.165983260016,-183.00689393224096,-54902.068179672286,2.0,22498.331966520032,674949958.9956009
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,40000,-0.024197079853143618,2519.5429848171943,12516.555657131643,-302.8640967219308,-121145.63868877232,2.0,25033.111314263286,1001324452.5705315
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,50000,-0.02355027671138753,2552.6896325693237,12354.028314934041,-290.9407853170133,-145470.39265850664,2.0,24708.056629868082,1235402831.4934042
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,60000,-0.026613384310052526,2699.4871851561597,11682.218820451895,-310.9033790628148,-186542.02743768887,2.0,23364.43764090379,1401866258.4542274
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,70000,-0.02697207259041252,2623.4247022096906,12020.928206339397,-324.2293481855236,-226960.5437298665,2.0,24041.856412678793,1682929948.8875155
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,80000,-0.026975906518311568,2871.235823417674,10983.423842372598,-296.2878148228377,-237030.25185827015,2.0,21966.847684745197,1757347814.7796156
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,90000,-0.03037357892700617,3148.7281047434217,10015.472581609187,-304.2057469487729,-273785.1722538956,2.0,20030.945163218374,1802785064.6896536
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,10000,-0.01550078338693605,1994.4825309748064,15811.62006196501,-245.09249757705197,-24509.249757705194,2.0,31623.24012393002,316232401.2393002
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,20000,-0.018360037423855054,2106.878109783047,14968.117924604276,-274.81520526041015,-54963.04105208203,2.0,29936.23584920855,598724716.984171
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,30000,-0.019288656819727155,2198.6233294522917,14343.521046807078,-276.6672550583953,-83000.17651751859,2.0,28687.042093614156,860611262.8084247
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,40000,-0.02025911323935603,2543.815751633489,12397.124272758132,-251.15474448417626,-100461.8977936705,2.0,24794.248545516264,991769941.8206506
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,50000,-0.02417016959543538,2282.0422489230123,13819.20076847092,-334.0124262473131,-167006.21312365655,2.0,27638.40153694184,1381920076.8470922
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,60000,-0.02568920996968235,2382.8005675634276,13234.846604156915,-339.9927533307245,-203995.6519984347,2.0,26469.69320831383,1588181592.4988298
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,70000,-0.029627315716036544,2419.564787344875,13033.748947308095,-386.1549950254558,-270308.49651781906,2.0,26067.49789461619,1824724852.6231332
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,80000,-0.03058777553675833,2490.3372278539255,12663.34520773979,-387.343560758829,-309874.84860706324,2.0,25326.69041547958,2026135233.2383666
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,90000,-0.0292706926082826,2759.922913040989,11426.406096702325,-334.45882047398,-301012.93842658197,2.0,22852.81219340465,2056753097.4064186
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,10000,-0.013168073299535213,2262.479040423244,13938.69266258508,-183.54572668061397,-18354.572668061395,2.0,27877.38532517016,278773853.2517016
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,20000,-0.01637978393433843,2488.8369240574066,12670.978839621475,-207.54789562957401,-41509.5791259148,2.0,25341.95767924295,506839153.584859
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,30000,-0.01734279403401871,2648.6609879284083,11906.393511185132,-206.49013035246057,-61947.03910573817,2.0,23812.787022370263,714383610.6711079
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,40000,-0.022191149214432826,2435.8776434333904,12946.4630889874,-287.2968942068662,-114918.7576827465,2.0,25892.9261779748,1035717047.1189921
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,50000,-0.021809648161560426,2767.644157747505,11394.528415699986,-248.51065571331924,-124255.32785665961,2.0,22789.056831399972,1139452841.5699985
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,60000,-0.022216141056303845,2802.3480026021734,11253.420335631637,-250.00757354227062,-150004.5441253624,2.0,22506.840671263275,1350410440.2757964
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,70000,-0.02290436896750255,3021.606834835178,10436.831038516042,-239.04902895765423,-167334.32027035794,2.0,20873.662077032084,1461156345.392246
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,80000,-0.027389706568018094,2798.647236889624,11268.301193632626,-308.63546321364566,-246908.37057091654,2.0,22536.60238726525,1802928190.98122
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,90000,-0.030258142182890812,2974.1315360738413,10603.431495040988,-320.8401378034927,-288756.12402314343,2.0,21206.862990081976,1908617669.1073778
BTCUSDC,Fixed volumes with 1 unit thresholds (v2),0,10000,-0.7426579594826618,451595.6746008825,69.83237832796189,-51.86157159486543,-5186.157159486544,188.67251947860123,13175.45076031944,131754507.6031944
BTCUSDC,Fixed volumes with 1 unit thresholds (v2),0,20000,-0.9165828345943462,450101.62897424033,70.06417655467945,-64.21962155000682,-12843.924310001363,177.78233969202483,12456.173236486024,249123464.72972047
